;RestaurantName;AverageCostForTwo;AggregateRating;RatingText;Votes;Date;Coordinates;City/Country/Continent
77;Austin's BBQ and Oyster Bar;25;3.3;Average;35.0;2016-12-14T12:37:36Z;[31.610387, -84.221535];Albany/United States/North America
78;BJ's Country Buffet;10;3.3;Average;25.0;2017-06-29T20:50:40Z;[31.608743, -84.207095];Albany/United States/North America
79;Cookie Shoppe;0;3.4;Average;34.0;2018-08-17T13:26:28Z;[31.5772, -84.154];Albany/United States/North America
80;El Vaquero Mexican Restaurant;0;3.4;Average;45.0;2018-05-11T07:49:59Z;[31.6158, -84.2194];Albany/United States/North America
81;Elements Coffee Co - Northwest;10;3.4;Average;26.0;2017-06-03T07:06:05Z;[31.622412, -84.206944];Albany/United States/North America
82;Pearly's Famous Country Cookng;0;3.4;Average;36.0;2016-11-16T04:25:43Z;[31.5882, -84.1759];Albany/United States/North America
83;Chick-fil-A;10;3.5;Good;67.0;2018-02-13T22:41:24Z;[31.616, -84.2193];Albany/United States/North America
84;Guang Zhou Chinese Restaurant;10;3.9;Good;141.0;2018-06-15T22:12:07Z;[31.6155186, -84.2091458];Albany/United States/North America
85;Harvest Moon;25;3.7;Good;147.0;2017-12-24T20:21:49Z;[31.604905, -84.205718];Albany/United States/North America
86;Henry Campbell's Steakhouse;70;3.5;Good;51.0;2016-01-18T17:15:34Z;[31.612121, -84.22327800000001];Albany/United States/North America
87;Hong Kong Cafe;25;3.6;Good;88.0;2017-12-02T05:02:34Z;[31.6156, -84.2191];Albany/United States/North America
88;House of China Restaurant II;10;3.8;Good;153.0;2016-11-12T00:46:28Z;[31.6104, -84.212];Albany/United States/North America
89;Jimmie's Hot Dogs;10;3.9;Good;160.0;2018-05-27T08:55:39Z;[31.5751, -84.1534];Albany/United States/North America
90;Locos Grill & Pub;25;3.5;Good;57.0;2018-03-23T18:22:42Z;[31.6077, -84.2228];Albany/United States/North America
91;Longhorn Steakhouse;25;3.5;Good;58.0;2016-11-17T00:08:00Z;[31.6185, -84.2229];Albany/United States/North America
92;Mikata Japanese Steakhouse;40;3.6;Good;115.0;2017-07-10T09:14:53Z;[31.6137, -84.2164];Albany/United States/North America
93;Shogun Japanese Steak House;40;3.5;Good;51.0;2016-07-11T04:41:10Z;[31.6118, -84.2233];Albany/United States/North America
94;The Catch Seafood Room & Oyster Bar;40;3.8;Good;250.0;2018-09-02T01:09:31Z;[31.605882, -84.205025];Albany/United States/North America
95;Villa Gargano;10;3.7;Good;117.0;2016-05-10T02:55:26Z;[31.5985, -84.1757];Albany/United States/North America
96;3 Squares Diner;10;3.4;Average;20.0;2018-02-23T17:29:26Z;[31.5308, -83.8389];Albany/United States/North America
97;Whitebull Hotel;20;3.5;Good;25.0;2016-08-01T15:13:39Z;[-30.5147169, 151.6688792];Armidale/Australia/Oceania
98;Last Resort Grill;40;4.5;Excellent;1821.0;2016-05-19T23:01:03Z;[33.957999, -83.378273];Athens/United States/North America
99;Mama's Boy Restaurant;10;4.5;Excellent;849.0;2016-05-14T13:59:12Z;[33.9535, -83.3654];Athens/United States/North America
100;Sr. Sol 1;10;4.6;Excellent;917.0;2017-05-02T23:24:34Z;[33.9652, -83.4293];Athens/United States/North America
101;Choo Choo Eastside;10;3.9;Good;439.0;2018-02-15T02:14:34Z;[33.9259, -83.3389];Athens/United States/North America
102;The Grill;10;3.7;Good;289.0;2018-07-16T22:24:30Z;[33.958198, -83.375523];Athens/United States/North America
103;Big City Bread Cafe;10;4.3;Very Good;558.0;2016-08-11T23:29:24Z;[33.959392, -83.384004];Athens/United States/North America
104;Clocked;10;4.2;Very Good;613.0;2017-12-27T02:19:43Z;[33.9584, -83.3797];Athens/United States/North America
105;DePalma's Italian Cafe - Downtown;25;4.0;Very Good;353.0;2016-05-03T19:33:56Z;[33.958112, -83.37359599999999];Athens/United States/North America
106;DePalma's Italian Cafe - East Side;25;4.1;Very Good;387.0;2018-05-01T19:38:00Z;[33.924275, -83.33995];Athens/United States/North America
107;Five & Ten;40;4.3;Very Good;755.0;2018-07-16T17:43:55Z;[33.941554499999995, -83.3872482];Athens/United States/North America
108;Grit;10;4.2;Very Good;800.0;2016-12-04T02:17:18Z;[33.960112, -83.381625];Athens/United States/North America
109;Ike & Jane;10;4.1;Very Good;350.0;2016-10-12T07:19:12Z;[33.963296, -83.400887];Athens/United States/North America
110;La Dolce Vita Ristorante;40;4.1;Very Good;464.0;2016-03-01T23:05:45Z;[33.9584, -83.4075];Athens/United States/North America
111;Shokitini;25;4.2;Very Good;550.0;2018-01-15T04:52:38Z;[33.957503, -83.379251];Athens/United States/North America
112;Taqueria Del Sol;10;4.1;Very Good;543.0;2016-08-07T07:44:07Z;[33.960571, -83.383605];Athens/United States/North America
113;The National;40;4.1;Very Good;465.0;2018-08-26T12:30:07Z;[33.959468, -83.37966999999999];Athens/United States/North America
114;The Royal Peasant;10;4.4;Very Good;546.0;2018-04-09T03:43:21Z;[33.937502, -83.38728];Athens/United States/North America
115;Transmetropolitan;10;4.4;Very Good;1098.0;2018-05-31T22:16:22Z;[33.9584, -83.3764];Athens/United States/North America
116;Trappeze Pub;25;4.2;Very Good;579.0;2017-05-07T15:48:10Z;[33.958363, -83.378881];Athens/United States/North America
117;Viva! Argentine Cuisine;10;4.1;Very Good;374.0;2016-04-06T20:20:36Z;[33.9600227, -83.38282240000001];Athens/United States/North America
118;Miyabi Kyoto Japanese Steak House;40;4.6;Excellent;717.0;2016-07-25T05:11:32Z;[33.4721, -82.0865];Augusta/United States/North America
119;Rae's Coastal Cafe;40;4.9;Excellent;548.0;2016-09-14T20:44:17Z;[33.4791, -82.0698];Augusta/United States/North America
120;The Bee's Knees;25;4.5;Excellent;631.0;2018-12-04T08:31:40Z;[33.4765, -81.97];Augusta/United States/North America
121;Boll Weevil Cafe;10;3.9;Good;372.0;2016-06-30T10:19:06Z;[33.474000000000004, -81.9684];Augusta/United States/North America
122;Farmhaus Burger;25;3.9;Good;201.0;2016-07-28T20:51:09Z;[33.477444, -81.97300600000001];Augusta/United States/North America
123;Manuel's Bread Cafe;40;3.8;Good;332.0;2016-04-06T10:31:39Z;[33.481779, -81.965571];Augusta/United States/North America
124;Sconyers Bar B Que;25;3.5;Good;304.0;2016-10-28T00:19:17Z;[33.4086, -82.0327];Augusta/United States/North America
125;Frog Hollow Tavern;40;4.3;Very Good;368.0;2017-04-05T23:36:29Z;[33.478231, -81.974944];Augusta/United States/North America
126;Giuseppe's Pizza & Italian Specialities;25;4.1;Very Good;430.0;2016-12-03T22:13:56Z;[33.4827, -82.096];Augusta/United States/North America
127;Mellow Mushroom;25;4.4;Very Good;433.0;2018-05-17T10:57:16Z;[33.4778, -81.9721];Augusta/United States/North America
128;Nacho Mamas Burritos;10;4.0;Very Good;380.0;2017-01-30T17:59:38Z;[33.4764, -81.9694];Augusta/United States/North America
129;Rhinehart's Oyster Bar;25;4.0;Very Good;456.0;2018-03-11T09:55:57Z;[33.5133, -82.0505];Augusta/United States/North America
130;Takosushi;40;4.2;Very Good;647.0;2017-06-20T04:09:14Z;[33.4848, -82.0301];Augusta/United States/North America
131;The Chop House;40;4.0;Very Good;360.0;2017-11-22T18:27:01Z;[33.467201, -82.080788];Augusta/United States/North America
132;The Taj of India;25;4.0;Very Good;227.0;2017-10-22T19:27:03Z;[33.5375868, -82.0805493];Augusta/United States/North America
133;Augsburg Haus;25;3.9;Good;290.0;2018-12-10T04:31:41Z;[33.544342, -82.143793];Augusta/United States/North America
134;Pho Bac;10;4.1;Very Good;270.0;2018-12-09T23:51:03Z;[33.532249, -82.126161];Augusta/United States/North America
135;Rhinehart's Oyster Bar;25;4.0;Very Good;326.0;2018-07-19T12:08:43Z;[33.521291, -82.141284];Augusta/United States/North America
136;Thai Kitchen;35;4.3;Very Good;317.0;2017-10-06T23:35:58Z;[33.5406, -82.1328];Augusta/United States/North America
137;El Kiosco Mexican Restaurant;10;4.2;Very Good;300.0;2017-10-31T19:52:05Z;[33.4574, -82.1997];Augusta/United States/North America
138;Taste of Balingup;20;3.2;Average;21.0;2017-03-04T20:07:45Z;[-33.7845269, 115.9844924];Balingup/Australia/Oceania
139;Bridge Road Brewers;20;4.6;Excellent;237.0;2017-01-23T23:27:07Z;[-36.360439, 146.685852];Beechworth/Australia/Oceania
140;Bardenay;25;4.5;Excellent;879.0;2016-06-28T13:40:07Z;[43.6138, -116.2019];Boise/United States/North America
141;Flatbread Neapolitan Pizzeria;25;4.6;Excellent;615.0;2016-11-05T07:04:27Z;[43.616068, -116.203466];Boise/United States/North America
142;Goldy's Breakfast Bistro;25;4.5;Excellent;879.0;2018-10-29T20:42:41Z;[43.6149, -116.2023];Boise/United States/North America
143;Chandlers Steakhouse;70;3.9;Good;379.0;2018-04-07T22:48:53Z;[43.6157, -116.2064];Boise/United States/North America
144;Bar Gernika Basque Pub & Eatery;10;4.3;Very Good;303.0;2017-12-06T16:06:51Z;[43.614, -116.2031];Boise/United States/North America
145;Barbacoa Restaurant;70;4.1;Very Good;538.0;2017-10-29T10:21:45Z;[43.597235, -116.185034];Boise/United States/North America
146;Big Jud's;10;4.2;Very Good;334.0;2018-02-18T05:44:15Z;[43.5945, -116.2062];Boise/United States/North America
147;Bittercreek Ale House;25;4.3;Very Good;555.0;2016-05-13T16:15:12Z;[43.6167, -116.2022];Boise/United States/North America
148;Boise Fry Company;10;4.4;Very Good;823.0;2017-09-24T23:19:15Z;[43.610279, -116.193409];Boise/United States/North America
149;Flying Pie Pizzaria;25;4.1;Very Good;550.0;2016-01-13T13:14:17Z;[43.6192, -116.2625];Boise/United States/North America
150;Fork;25;4.4;Very Good;650.0;2016-07-28T07:02:16Z;[43.616295, -116.202845];Boise/United States/North America
151;Guido's Original New York Style Pizza;10;4.3;Very Good;410.0;2018-09-01T03:01:19Z;[43.615, -116.199];Boise/United States/North America
152;Los Beto's;10;4.4;Very Good;660.0;2016-02-13T11:44:05Z;[43.6191, -116.2463];Boise/United States/North America
153;Lucianos Italian Restaurant;25;4.4;Very Good;360.0;2017-03-17T22:18:09Z;[43.6051379, -116.245165];Boise/United States/North America
154;Mai Thai Restaurant;40;4.0;Very Good;340.0;2016-08-24T00:41:31Z;[43.6162, -116.2021];Boise/United States/North America
155;Shige Japanese Cuisine;25;4.1;Very Good;393.0;2017-01-29T13:27:04Z;[43.6156, -116.2031];Boise/United States/North America
156;The Egg Factory;10;4.3;Very Good;422.0;2018-06-14T16:52:06Z;[43.619274, -116.281809];Boise/United States/North America
157;Tucanos;40;4.0;Very Good;435.0;2016-04-14T07:01:00Z;[43.591706, -116.280614];Boise/United States/North America
158;Texas Roadhouse;25;4.0;Very Good;369.0;2017-01-01T20:25:22Z;[43.619108, -116.347304];Boise/United States/North America
159;Brick 29;40;4.4;Very Good;487.0;2016-09-30T21:48:40Z;[43.5777, -116.5629];Boise/United States/North America
160;Winifreds;40;3.7;Good;98.0;2017-10-07T20:18:11Z;[42.0179, -91.6336];Cedar Rapids/Iowa City/United States/North America
161;Biaggi's Ristorante Italiano;40;4.1;Very Good;365.0;2016-08-19T14:56:54Z;[42.0281, -91.6327];Cedar Rapids/Iowa City/United States/North America
162;El Super Burrito;10;4.1;Very Good;190.0;2018-10-30T19:18:26Z;[41.9748, -91.7148];Cedar Rapids/Iowa City/United States/North America
163;Granite City Food & Brewery;40;4.1;Very Good;429.0;2017-08-11T15:02:28Z;[42.0249, -91.6224];Cedar Rapids/Iowa City/United States/North America
164;Irish Democrat;25;4.4;Very Good;430.0;2017-11-18T21:57:14Z;[42.01, -91.6347];Cedar Rapids/Iowa City/United States/North America
165;Taste of India;25;4.2;Very Good;186.0;2016-07-25T05:52:37Z;[42.0215347, -91.6499622];Cedar Rapids/Iowa City/United States/North America
166;Thai Moon Restaurant;10;4.2;Very Good;220.0;2016-10-15T04:28:18Z;[41.9639, -91.7266];Cedar Rapids/Iowa City/United States/North America
167;Ting's Red Lantern;10;4.2;Very Good;347.0;2018-03-25T13:53:11Z;[42.0468, -91.6394];Cedar Rapids/Iowa City/United States/North America
168;Monica's;25;3.8;Good;161.0;2018-11-16T14:46:19Z;[41.670466, -91.569767];Cedar Rapids/Iowa City/United States/North America
169;Exotic India;25;4.1;Very Good;160.0;2018-02-26T05:01:06Z;[41.6685, -91.5687];Cedar Rapids/Iowa City/United States/North America
170;Shorts Burger and Shine;10;4.9;Excellent;820.0;2018-12-25T01:03:55Z;[41.660982, -91.534424];Cedar Rapids/Iowa City/United States/North America
171;The Hamburg Inn No. 2 Inc.;10;4.5;Excellent;488.0;2017-12-26T05:01:14Z;[41.663849, -91.531414];Cedar Rapids/Iowa City/United States/North America
172;Bluebird Diner;25;3.6;Good;253.0;2018-01-20T00:51:40Z;[41.663751, -91.531093];Cedar Rapids/Iowa City/United States/North America
173;Graze;40;3.8;Good;220.0;2017-07-30T03:44:07Z;[41.658691, -91.534302];Cedar Rapids/Iowa City/United States/North America
174;A & A Pagliai's Pizza;25;4.3;Very Good;485.0;2017-12-16T06:51:15Z;[41.6648, -91.5314];Cedar Rapids/Iowa City/United States/North America
175;Atlas World Grill;40;4.3;Very Good;428.0;2016-04-05T17:18:40Z;[41.661, -91.5341];Cedar Rapids/Iowa City/United States/North America
176;BlackStone;25;4.1;Very Good;294.0;2018-06-18T04:03:46Z;[41.667742, -91.482165];Cedar Rapids/Iowa City/United States/North America
177;Devotay;40;4.0;Very Good;380.0;2017-02-03T14:18:19Z;[41.6625, -91.5318];Cedar Rapids/Iowa City/United States/North America
178;Jimmy Jack's Rib Shack;25;4.2;Very Good;259.0;2016-04-13T02:37:16Z;[41.6428, -91.5074];Cedar Rapids/Iowa City/United States/North America
179;Zoeys Pizzeria;25;4.7;Excellent;433.0;2017-07-22T09:18:52Z;[42.0331, -91.5995];Cedar Rapids/Iowa City/United States/North America
180;Tokyo Sushi;25;3.7;Good;176.0;2016-02-13T17:13:41Z;[42.397683, -82.188438];Chatham-Kent/Canada/North America
181;Berry Patch Restaurant;10;4.3;Very Good;96.0;2016-11-02T22:45:54Z;[46.126967, -123.368151];Clatskanie/United States/North America
182;Sakura Sushi & Grill;25;3.1;Average;6.0;2017-03-09T10:54:11Z;[51.183934, -114.472474];Cochrane/Canada/North America
183;Uptown Vietnam cuisine;10;3.3;Average;33.0;2018-08-12T01:27:54Z;[32.470315, -84.992671];Columbus/United States/North America
184;Cafe Le Rue @ The Landings;25;4.6;Excellent;489.0;2016-10-01T07:22:56Z;[32.519247, -84.95591];Columbus/United States/North America
185;Mark's City Grille;25;4.5;Excellent;345.0;2017-05-29T05:30:41Z;[32.555591, -84.927047];Columbus/United States/North America
186;B Merrell's;25;3.8;Good;149.0;2018-01-20T02:10:44Z;[32.5577, -84.9436];Columbus/United States/North America
187;Cannon Brewpub;25;3.9;Good;330.0;2016-11-21T12:25:05Z;[32.4656, -84.9936];Columbus/United States/North America
188;Fuji Japanese Steak House;40;3.9;Good;247.0;2016-06-02T09:14:09Z;[32.5382197, -84.954984];Columbus/United States/North America
189;Ruth Ann's Family Restaurant;10;3.7;Good;123.0;2018-12-20T08:40:06Z;[32.4637, -84.9876];Columbus/United States/North America
190;Samurai Japanese Cuisine & Sushi Bar;40;3.6;Good;109.0;2017-05-21T10:43:05Z;[32.4652417, -84.9933631];Columbus/United States/North America
191;Wasabi Sushi and Thai;40;3.7;Good;134.0;2016-09-20T08:07:28Z;[32.534002, -84.96661];Columbus/United States/North America
192;Buckhead Bar and Grill;40;4.2;Very Good;722.0;2018-05-14T23:17:52Z;[32.513154, -84.95366999999999];Columbus/United States/North America
193;Burt's Butcher Shoppe and Eatery;25;4.3;Very Good;213.0;2018-09-27T08:46:28Z;[32.504657, -84.947569];Columbus/United States/North America
194;Chef Lee's Peking Restaurant;25;4.0;Very Good;335.0;2016-06-09T15:29:44Z;[32.5393, -84.9607];Columbus/United States/North America
195;Country's Barbecue;25;4.0;Very Good;353.0;2016-03-23T04:00:30Z;[32.4792, -84.9464];Columbus/United States/North America
196;Deorio's;0;4.0;Very Good;170.0;2018-05-27T00:12:12Z;[32.481, -84.9427];Columbus/United States/North America
197;Mellow Mushroom;25;4.1;Very Good;192.0;2018-07-31T15:13:05Z;[32.5321, -84.9557];Columbus/United States/North America
198;Meritage;40;4.1;Very Good;302.0;2017-04-23T01:15:09Z;[32.466158, -84.99209300000001];Columbus/United States/North America
199;Mongo The Mongolian Fire Pit;10;4.2;Very Good;355.0;2018-01-12T00:32:30Z;[32.560905, -84.938698];Columbus/United States/North America
200;The Black Cow;25;4.3;Very Good;287.0;2016-03-02T17:08:49Z;[32.468757000000004, -84.991384];Columbus/United States/North America
